station,model,rmse,mae,r2,n_rows
ALL,ridge,3.6460368633270264,1.3766485452651978,0.9657163870647723,64678
ALL,rf,31.821327209472656,16.426349639892578,-1.6114460999612823,64678
ALL,xgb,3.836310625076294,1.4750862121582031,0.9620447406227733,64678
ALL,lstm,6.294914245605469,3.0427231788635254,0.8978063017387778,64678
AIIMS,ridge,2.4046852588653564,1.2105748653411865,0.9864481635441782,17931
AIIMS,rf,33.88858413696289,16.120729446411133,-1.6914630707484855,17931
AIIMS,xgb,2.6738476753234863,1.3143876791000366,0.98324459520924,17931
AIIMS,lstm,5.90317440032959,3.4519569873809814,0.9183318259213648,17931
BHATAGAON,ridge,4.460859298706055,1.5265806913375854,0.9253766353031727,18193
BHATAGAON,rf,26.40202522277832,16.958532333374023,-1.6140400058210074,18193
BHATAGAON,xgb,4.601992130279541,1.6513898372650146,0.9205800629159372,18193
BHATAGAON,lstm,6.728911399841309,2.854888916015625,0.8302040222872024,18193
IGKV,ridge,2.023726463317871,1.0830965042114258,0.9835074199986414,14198
IGKV,rf,18.903051376342773,12.566092491149902,-0.4389601195459194,14198
IGKV,xgb,2.033519744873047,1.122955083847046,0.9833474118303462,14198
IGKV,lstm,3.2057807445526123,2.114450216293335,0.9586140848722705,14198
SILTARA,ridge,4.837434768676758,1.6843948364257812,0.9598381266388091,14356
SILTARA,rf,43.483943939208984,19.951431274414062,-2.245200926227126,14356
SILTARA,xgb,5.142699241638184,1.8006327152252197,0.9546093894487624,14356
SILTARA,lstm,8.213236808776855,3.687673807144165,0.8842256291239589,14356
